Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
CONNECTM TECHNOLOGY SOLUTIONS PRIVATE LIMITED,,,,,,
COSMO FILMS,,,,,,
COSMO PLASTECH,,,,,,
COSMO SPECIALITY CHEMICALS,,,,,,
COSMO SUNSHIELD,,,,,,
COSTMASTERS TECHNOLOGIES PVT. LTD,,,,,,
COVENTRY COIL-O-MATIC (HR) LIMITED,HARYANA,YES,"compression springs, extension springs, torsion springs, and wire forms.",869.48 (2024),2.92 (2024),http://coilomatic.com/
CREAT GMBH,,,,,,
CROSSLINK WHEELS ELECTRONIC PVT LTD,,,,,,
CROWN GASKETS PVT LTD,HARYANA,NO,"exhaust gaskets, valve cover, exhaust rubber mounting, down pipe, silencer gaskets and washers.",65.82 (2017),22.46 (2017),http://www.crowngaskets.com/
CY MYUTEC CO LTD ',,,,,,
IMPEX,,,,,,
D.RS. AUTO INDUSTRIES,DELHI,NO,automotive lights,,,https://www.autogoldlights.com/
DAGNA DISTRIBUTION LTD.,,,,,,
"DAIKI ALUMINIUM INDUSTRY CO.,LTD.",ANDHRA PRADESH,NO,aluminum alloy melt and ingot.,13454.08 (2022),226.30 (2022),
DARSHAN IMPEX,,,,,,
DATTA INDUSTRIES,,,,,,
DAWNSUN KYOSEI ENGINEERING PRIVATE LIMITED,,,,,,
DECORA AUTO FORGE PVT LTD,GUJARAT,NO,"manufacturing and exporting automobile spare parts. It offers rocker arm assembly and part and automotive rocker arm. Its automobile spare parts include products roller tappet, cam shafts, rocker supports, valve guides, connecting rods, tie rod, two wheeler, bajaj, hero honda and auto connecting rod.",103.91 (2024),11.88 (2024),https://www.decoraautoforge.com/
DELFINGEN INDIA PVT LTD,PUNE,NO,"protection systems, fluid transfer tubing, interior trim fastening, electrical and thermal insulation sleeves and assemblies. The company is also engaged in supplying automotive components.",2037.95 (2024),275.73 (2024),http://www.delfingen.com/
DELKART INDUSTRIES PRIVATE LIMITED,PUNE,NO,manufacturing thermal insulation parts.,552.91 (2023),82.99 (2023),https://delkartindustries.com/
DELLORTO PVT LTD,OVERSEAS,,,,,
DELPHI TECHNOLOGIES,CHENNAI,NO,"fuel injection equipment, light duty common rail, diesel common rail, medium duty common rail, twin cyl upcr, single cyl upc and tvs-053.",18865.29 (2023),3219.23 (2023),https://www.delphiautoparts.com/
DELUX BEARING PRIVATE LIMITED,MUMBAI,NO,"manufacturing automotive and industrial bearings. Its product include forklift and conveyor, textile bearings, clutch release, taper roller, bogie, cylindrical roller, king pin, ball bearings, steering, auto components, center support bearings, idlers and tensioners and precision brushes.",2023.11 (2023),155.23 (2023),https://deluxbearings.com/
DENSOTEN UNO MINDA INDIA PRIVATE LIMITED,,,,,,
DETAILING DEVILS INDIA PRIVATE LIMITED,,,,,,
DEXERIALS SINGAPORE PTE. LTD.,,,,,,
DGC INDUSTRIES PVT. LTD.,HARYANA,NO,"automotive components. Its products include plastic parts of major automobile cars like bumper, bumper brackets, grilles, tie member, wiper and coolant bottle, etc.",845.48 (2023),72.50 (2023),http://www.dgc.co.in/
DH LIGHTING INDIA PVT LTD,,,,,,
DHC AUTOSOLUTIONS LLP,MUMBAI,NO,"car parking sensors, video car parking sensors, front camera, hi-low convertor, reverse camera, stereo installation kit, wiring harness and wiper blades.",,,
DIESEL AUTO PARTS CO LTD,,,,,,
DIS MRP SEALS PRIVATE LIMITED,,,,,,
DIVGI TORQTRANSFER SYSTEMS LIMITED,PUNE,YES,"mechanical shift transfer case, mechanical shift transfer case, electric shift-on-the-fly transfer case, etc and transmission solutions which includes synchronizers, electric vehicle transmission, dual clutch transmission, 6 speed manual transmission",2534.24 (2024),726.27 (2024),http://divgi-tts.com/
DOERKEN COATINGS,,,,,,
"DONGGUAN PIOLAX CO., LTD. (DONGGUAN, CHINA)",,,,,,
"DONGIL MACHINERY CO., LTD",OVERSEAS,,,,,
DONGSEO AUTOTECH KOREA,OVERSEAS,,,,,
DPS BEARINGS PVT LTD,,,,,,
DRS ASSOCIATES,,,,,,
DRS AUTOMOTIVE INDIA PVT LTD,,,,,,
DURATUF GLASS INDUSTRIES,HARYANA,NO,"glass lids, bend glass, tempered glass, bus aluminum windows, heat strengthened glass, windscreen laminated glass, etc.",1294.98 (2023),69.57 (2023),https://duratufglass.com/contact-us/
DYNABRADE INDIA ABRASIVE POWER TOOLS PVT. LTD.,THANE,NO,manufacturing and supplying of steel and iron products.,181.92 (2023),12.99 (2023),https://www17.dynabrade.com/index-india_en.html
EARL AUTOMOTIVE,,,,,,
EAST INDIA ELECTRONICS PVT LTD,,,,,,
EASTMAN EXPORTS PVT. LTD,,,,,,
EASTMAN IMPEX,,,,,,
ECL MAGTRONICS PRIVATE LIMITED,,,,,,
EC0365 PRIVATE LIMITED,,,,,,
ECOCAT INDIA LTD.,DELHI,NO,"manufacturing catalytic converters for automotive applications. It serves to petrol and diesel motor vehicles, small engines, aftermarket and industrial applications.",1706.09 (2023),62.95 (2023),https://www.ecocatindiavikas.com/contact-us
EDS TECHNOLOGIES PVT. LTD.,BENGALURU,NO,OEMS,2257.79 (2023),2101.88 (2023),https://edstechnologies.com/
EFFBE,,,,,,
EKEEN PRECISION CO„ LTD,,,,,,
ELECTRO DEVICES PVT LTD.,,,,,,
ELECTRONICS ERA,,,,,,
ELLIE ENTERPRISES,,,,,,
ELLIE ENTERPRISES (SONILEX),,,,,,
ELMEC TOOLS AND DEVICES PVT. LTD.,,,,,,
ELOFIC INDUSTRIES LIMITED,HARYANA,NO,"manufacturing of filters, lubricants, coolant and gasket maker. Its products include filers such as spin on, cartridges, strainers, air and hydraulic filters, metal free, etc.; lubricants including engine oils, gear oils, and lithium base grease; concentrate and ready-to-use coolant; and gasket maker.",3469.27 (2023),634.01 (2023),https://www.elofic.com/
EMMBROS AUTOCOMP LIMITED,HIMACHAL PRADESH,NO,"drive shafts and components, rear axle shafts, front axle shafts, differential housing, differential cases, spindles, spools, universal joint crosses, yokes, pinion yokes, bevel gears, pinion gears and machined automotive parts.",1182.85 (2023),193.80 (2023),http://www.emmbros.com/
ENAPROS RESISTORS PRIVATE LIMITED,,,,,,
ENCO ENGINEERS COMBINE PRIVATE LIMITED,GURUGRAM,NO,"Esuspensions, engine, brakes, doors, tubular parts, general engineering products, quick prototype parts, sheet metal tooling, checking fixtures and special purpose machines.",822.69 (2023),39.09 (2023),https://enco.in/
ENEOS TIDE WATER LUBRICANTS INDIA PVTLTD,,,,,,
ENOMOTO MACHINE LTD.,OVERSEAS,,,,,
ENTREPRENEUR INDIA,,,,,,
ENTUPLE MOBILITY PRIVATE LTD,BENGALURU,NO,,,,https://entuplemobility.com/
ENVALIOR INDIA PVT LTD,,,,,,
ESTEEM AUTO PVT LTD,GUJARAT,NO,"wet and dry cylinder liners, sleeves, air water cooled blocks, valve guides, and custom made casting parts for automobile and industrial engine applications.",1208.12 (2023),164.22 (2023),https://esteemauto.com/
ETA TECHNOLOGY PRIVATE LIMITED,BENGALURU,NO,"friction surfacing machines, friction stir welding machines, assembly machines, special purpose machines, electrical upsetting machines, test rigs.",204.21 (2023),16.69 (2023),https://etatechnology.in/
ETAS AUTOMOTIVE INDIA PRIVATE LIMITED,BENGALURU,NO,"ETAS Automotive India Pvt. Ltd. is engaged in providing innovative solutions, engineering services, consulting, training, and support for the development of embedded systems for the automotive industry and other sectors of the embedded industry. It offers application solutions and engineering services. The company was found in 2007 and is based in Bangalore, Karnataka.",1090.60 (2024),129.30 (2024),https://www.etas.com/en/company/etas_india_contact.php
EV MECHANICA,,,,,,
EVA AUTOMOTIVE INDUSTRIES PVT. LTD.,DELHI,NO,,,,http://www.evaautoindustries.com/contact-us.htm
EVEREST BLOWER INGERSOLL RAND,,,,,,
EVEREST CASTINGS PVT LTD,,,,,,
EVR MOTORS,OVERSEAS,,,,,
EXEDY CORPORATION,KARNATAKA,NO,manufacturing of clutch disk assembly and other auto parts.,2733.36 (2024),144.03 (2024),https://www.exedy.com/en/
FEDERAL -MOGUL GOETZE (INDIA) LTD,GURUGRAM,YES,"pistons, piston rings, cylinder liners, light metal castings, sintered metal products, which are used in two and three-wheelers, cars, sports utility vehicle (suv), tractors, light commercial vehicles, heavy commercial vehicles, stationary engines, and high output locomotive diesel engines.",16695.72 (2024),2503.95 (2024),http://www.federalmogulgoetzeindia.net/web/index.html
FEEDSTORY MEDIA LLP,,,,,,
FEROLITE JOINTINGS LTD.,GHAZIABAD,NO,"non-asbestos gasket jointing sheets, non-asbestos gland packing, rope and other textile materials, and polytetrafluoroethylene thread seal tape.",1605.53 (2023),291.05 (2023),https://www.ferolite.com/
FERRON TUBES PRIVATE LIMITED,DELHI,NO,TUBES,,,https://ferrontubes.com/products.html
FERSA GROUP,OVERSEAS,NO,"preset hubs, clutch release bearings, tapered roller bearings, cylindrical roller bearings, ball bearings, needle bearings, f-box, wheel end hub units, pass car wheel bearing kit, fersa tools, and maintenance products.",,,https://www.fersa.com/en/history
FILM ELECTRONICS PVT LTD,MERUT,NO,"fuel level sensor, street lights, down lights, led drives, recess lights, voltage regulators, proximity switch, battery charger, dc power supply and battery.",337.20 (2023),13.76 (2023),http://www.filmelectronics.in/
FLASH ELECTRONICS INDIA PRIVATE LIMITED,DELHI,NO,"electrical products like wiper motor, starter motor, magneto, etc.; electronics products like sensor, regulator, flasher, etc.; exhaust gas and temperature control; assembles like sensor and wiper element, throttle body, etc.",10059.17 (2024),1447.85 (2024),https://www.flashgroup.in/
FLYCO AUTO PVT LTD,DELHI,NO,HYDRAULIC PARTS,,,
FNF AUTOCARE INDIA,,,,,,
F-ONE MOTOCORP PVT LTD,,,,,,
FORSET FORGE LLP,GUJARAT,NO,"rocker arm assembly and part and automotive rocker arm. Its automobile spare parts include products roller tappet, cam shafts, rocker supports, valve guides, connecting rods, tie rod, two wheeler, bajaj, hero honda and auto connecting rod.",,,https://forsetforge.com/automotive.html
FOXCONN (HON HAI PRECISION IND. coq LTD.),MUMBAI,NO,"telephone sets, automatic and non-automatic switch boards and exchanges; morse or morse-type keys, other telegraphic transmitters, digital electronic exchange appartus, morse-type recorders, printer-type receivers, picture telegraphic transmitters and receivers, etc.",324877.99 (2023),12913.91 (2023),http://www.foxconn.com/
FREUDENBERG,OVERSEAS,NO,,,,
FRICTION TECH AUTO,GHAZIABAD,NO,"Brake Shoes, Clutch Plates, Brake Lining, Disc Brake Pads and Clutch Assembly for 2-Wheeler & 3-Wheeler segment, catering to OEM’s, After Market & Exports.",,,https://www.frictiontech.in/about-us
FUJI CARBON,OVERSEAS,,,,,
FUJI ELECTRONIC,,,,,,
FUTURA TEXTILES INC,OVERSEAS,,,,,
FUYUNG CARBON LTD,OVERSEAS,,,,,
G P AUTO INDUSTRIES,RAJASTHAN,NO,Rubber moulded Mountings and Bushes parts for Automotive,,,https://gpautoindustries.co.in/about.php
G. T. MOTORS PVT LTD,DELHI,NO,AUTO PARTS,,,https://www.godpowerturbo.com/
GALAXY BEARING,GUJARAT,NO,"automobiles, light and heavy machine tools, compressors, stationary diesel engines, earth moving equipments and material Handling equipments.",1271.16 (2024),277.31 (2024),https://www.galaxybearings.com/
GALAXY INDICATORS INDIA PRIVATE LIMITED,HARYANA,NO,"speedometers, ampere meters, oil pressure gauges, oil pressure switche, fuel gauges, panel clusters, electrical temperature gauges and volt meters.",186.39 (2023),6.25 (2023),http://www.galaxyinstruments.com/
GALAXY PACKAGING,,,,,,
GANDHI SPECIAL TUBES LTD,MUMBAI,YES,"welded and seamless steel tubes, producing pressed, drawn, stamped parts and tubular components.",1708.84 (2024),765.09 (2024),https://gandhispecialtubes.com/
GARAGEGURU TECHNOLOGY SOLUTIONS,,,,,,
GARIMA GLOBAL PRIVATE LIMITED,MUMBAI,NO,"engine cylinder sleeves, liners, valve guides, pistons and other components. It also offers products such as cylinder liners, piston rings, compressor parts, connecting rods, valves, valve guide, oil pump, water pump, crankshaft, camshaft, synchronizer ring, tractor parts, compressor parts and mb compressor parts.",528.14 (2024),42.41 (2024),https://www.garimaglobal.com/
GATES INDIA PVT LIMITED,GURGAON,NO,"hydraulic hose, industrial hose, couplings, quick release couplings, clamps, belts, ball valves and tube fittings.",6230.16 (2024),1496.90 (2024),http://www.gates.com/
GATES UNITTA INDIA COMPANY PVT LIMITED,CHENNAI,NO,"hydraulic hoses, braided hoses, industrial hoses, spiral hydraulic hoses, mining hoses, v-belts, timing belts, pulleys and flexible couplings.",5376.68 (2023),865.28 (2023),
GB GUMMI LLP,PUNE,NO,RUBBER COMPOUNDING,,,https://gbgummi.com/about-us/
GB RUBBER PRODUCTS,,,,,,https://www.gbrubberproduct.com/
GCPA PVT LTD,HARYANA,NO,CLUTCH,,,https://gcpaclutch.com/contact-us/
GERMAN LOUNGE,,,,,,
GESTAMP AUTOMOTIVE INDIA PVT LTD.,PUNE,NO,"body products (BIW), chassis parts, presses and dies, loire gestamp hot stamping lines and loire gestamp cold stamping lines.",9264.91 (2023),1412.51 (2023),https://www.gestamp.com/
GHAZIABAD PRECISION PRODUCTS PVT LTD,GHAZIABAD,NO,"push rods, nodular cast iron, chilled cast iron, forged with bush, socket, fork shafts, gas carburised, shafts rails compression spring, tension spring, torsion spring, wire form springs and spiral spring.",3085.80 (2023),751.62 (2023),https://www.gpp-india.com/group-structure
GIBRALTAR AIRSPRINGS PRIVATE LIMITED,KOLKATA,NO,"airbags for buses and trucks; air bellows and air spring assemblies for chassis suspension; air springs for seat suspension, lift axle applications, mass rapid, transit systems, passenger, coaches, high-speed trains, and metro coaches; and rubber bellows, air spring assemblies and rubber metal bonded items for original equipment manufacturer (OEM), retro-fitment and replacement requirements.",441.21 (2024),71.08 (2024),http://www.gibraltarairsprings.com/
GILARD ELECTRONICS PVT. LTD,PUNJAB,NO,"product and tool designing, tool and mould manufacturing, plastic injection mouldings, compression moulding, precision sheet metal work, Assembly and Inspection. The firm’s products include automobile switches and resistors for car air conditioners and blowers, switches for commercial vehicles and tractors, relays, solenoids, air heaters, sub-assemblies and full assemblies.",412.57 (2023),85.75 (2023),https://www.gilard.com/
GIULIANO AUTOMOTIVE,OVERSEAS,,,,,
GLOBAL AUTO,NOIDA,NO,"machine die-casting and squeeze casting parts, high-pressure hose assembly, high-pressure tubing assembly, tin coated swash plate, teflon coated piston and tube connectors and charging ports. Global Autotech also manufactures hose connectors, high-pressure aircon hoses, tube connectors, magnetic clutch rotor, idler pulley, steel shafts and compressor pistons and swash plates.",5267.38 (2024),529.95 (2024),https://www.globalauto.co.in/abouts.html
GLOBAL AUTOMOTIVE COMPONENTS,HARYANA,NO,Cylinder Heads,804.43 (2024),57.07 (2024),https://www.globalheads.in/
GLOBAL LINERS,GUJARAT,NO,cylinder liners and engine parts for different applications.,,,https://globalautoliners.com/about/
GLOBAL MAZINKERT S.L. MADRID,OVERSEAS,,,,,
GMB CORPORATION,OVERSEAS,,,,,
GMB KOREA CORPORATION,OVERSEAS,,,,,
GOMECHANIC (SERVICE EASY TECHNOLOGY PRIVATE LIMITED),,,,,,
GOOD BUSINESS LAB,,,,,,
GORECHA METAL TECH PVT LTD,GUJARAT,NO,Machined Investment Castings.,,,https://www.gorechametal.com/contact-us
GOWELL RUBBER INDUSTRIES,HARYANA,NO,RUBBER,,,https://www.gowellrubber.com/about.php
GPP LONGHU PRECISION FORGINGS,GHAZIABAD,NO,"push rods, nodular cast iron, chilled cast iron, forged with bush, socket, fork shafts, gas carburised, shafts rails compression spring, tension spring, torsion spring, wire form springs and spiral spring.",,,https://www.gpp-india.com/group-structure
GRAUER & WEIL (INDIA) LIMITED,MUMBAI,YES,"chemicals- zink flacks coating, strippers, covering and painting chemicals, engineering lubricants- hydraulic oil, rust prevention oils, gear oils, cleaners, paints, etc.",10543.25 (2024),2184.95 (2024),http://www.growel.com/
GREENCORE,GURUGRAM,NO,"fast car phone usb charger, 3-in-1 charging cable, c to c charging cable, door handle scratch protector, car charger extension cable, shark fin antennacar charger extender black, premium car multi port charger, rear seat mobile and tab holder, steering lock, high performance car vacuum cleaner, vacuum cum inflator, car air purifier ionizer, car air purifier with hepa filter, single din audio system-12v, puncture repair kit (inflator+sealant), puncture sealant, tyre inflator, pressure washer 90 psi, 98 bar/1400 psi high pressure washer.",,,https://greencoreelectronics.com/
GREENFUEL ENERGY SOLUTIONS PRIVATE LIMITED,GURUGRAM,NO," manufacturing equipment for green fuel compressed natural gas (cng), liquefied petroleum gas (lpg) and hydrogen compressed natural gas. Its products include receptacle, cylinder valve, check valve, tubes, pressure gauge, filter, solenoid valve, pressure transducers, fuel injectors, breakaway coupling, fueling nozzle, service nozzles, filling hoses, adapter nozzle and pressure gauge.",2913.48 (2024),292.75 (2024),https://greenfuelenergy.in/about-us
GRINDLAYS ENGINE PARTS PVT. LTD.,DELHI,NO,"piston rings, pistons, liners, piston pins, cam bushes, engine bearings, engine valve, valve guide, valve seat inserts, gaskets, etc. Its products are used in air break compressor, tractor spare parts, car engine parts, diesel engine parts, construction equipment, commercial vehicles, etc. ",184.11 (2023),32.35 (2023),https://www.grindlaysindia.com/
GRS TRADING CO.,OVERSEAS,,,,,
GS ENTERPRISES,JAIPUR,NO,GAUGES,,,http://www.gsenterprisesindia.com/
GSM GLOBAL,,,,,,
GTEX FABRICS PRIVATE LIMITED,GUJARAT,NO,FABRICS,,,https://gtexfabrics.com/about-us/
GTROPY SYSTEMS PRIVATE LIMITED,GURUGRAM,NO,GPS FLEET MANAGEMENT,1025.10 (2024),79.70 (2024),https://gtropy.com/about-us-gps-tracking-system/
GUJARAT FLOTEX PRIVATE LIMITED,GUJARAT,NO,FABRICS,2735.48 (2023),315.48 (2023),http://gujaratflotex.com/
GURU KRIPA ENTERPRISES,,,,,,
GURU NANAK AUTO ENTERPRISES LIMITED,PUNJAB,NO,"rear axle shafts, brake, shafts, torsion bars, steel forgings, wheel spindles and clutch shafts from passenger cars, light trucks and heavy commercial vehicles",6343.87 (2023),1175.44 (2023),https://gnaent.com/
GURUDEV AUTO INDUSTRIES PVT. LTD.,GUJARAT,NO,"Camshafts, Rocker Arms, Engine Valves, and Ball Bearings, Steering Column Bearings / Steering Head Bearings (Cone Sets / Fork Bearings)",,,https://www.gurudevauto.com/about/
H&M E RETAIL SOLUTIONS,,,,,,
H.M. AUTO INDUSTRIES,HARYANA,NO,AIR FILTER,,,https://www.royalaircare.com/
HARPRABH EXPORT CO,,,,,,
HARSHA ENGINEERS INTERNATIONAL LIMITED,GUJARAT,YES,"solar photovoltaic industry. The firm offers to build integrated photovoltaic (BIPV), grid-tied power plants, rooftop installations, and off-grid installations solutions. It conducts feasibility analysis, designing systems, procuring equipment necessary for solar power plants, installation, commissioning and maintenance of the solar power plants.",10809.40 (2024),2008.30 (2024),https://www.harshaengineers.com/aboutus.php#Aboutus
HEALTH AND FITNESS,,,,,,
HELLERMANNTYTON,OVERSEAS,,CABLE MANAGEMENT,,,
HELLERMANNTYTON PRIVATE LIMITED,,,,,,
HELVOET RUBBER AND PLASTICTECHNOLOGIES (INDIA) PRIVATE LIMITED,PUNE,NO,"Helvoet Rubber and Plastic Technologies India Pvt. Ltd. is engaged in manufacturing rubber and plastic components and assemblies. It provide automotive, industrial parts and customized products.The company was founded in 1939 and is based in Pune, Maharashtra.",1347.70 (2023),143.20 (2023),http://www.helvoet.com/
HENGDIAN GROUP,OVERSEAS,,,,,https://www.hengdian.com/en/
HI TECH GROUP,,,,,,
HI TECH INTERNATIONAL,,,,,,
HI-BOND BEARINGS LTD,GUJARAT,NO,"thin-walled and thick-walled bi-metal and tri-metal bearings, thrust washers, etc. These products are used in cars, trucks, tractors and other automobiles; compressors, gas turbines, earth movers, pumps, agricultural engines, diesel engines, railway engines, marine, and other heavy-duty engines.",313.99 (2024),44.82 (2024),https://hibond.com/contact-us/
HIGHWAY INDUSTRIES LIMITED,PUNJAB,NO,"raw forgings, semi finished and finished components; and sub-assemblies like crank shafts, connecting rods, kick starter spindle, arm assembly, flange axle, shafts and flanges, sleeves, stud flange and host of tractor parts and other engineering products.",10437.16 (2023),1447.09 (2024),https://www.highwayindustries.com/
HILUX AUTOELECTRIC PRIVATE LIMITED,DELHI,NO,"LIGHT emitting diode and head lamps, bus lamps and parts, construction equipments such as, work and fog lamps, bus indicator, tail lamps, tractors plastic components, rotating beacons and rear view mirror.",1139.97 (2023),188.22 (2023),https://www.hiluxautoelectric.com/
HILUX AUTOMOTIVE PVT LTD,HARYANA,NO,"head lights, bus lamps, work lamps, fog lamps, grouped rear, tail lamps, steering wheels, rotating beacons and dash board indicators.",342.83 (2023),25.69 (2023),https://www.hiluxautomotive.com/
HIM IMPERIAL AUTO GLASS WORKS,DELHI,NO,"Toughened Glass, Laminated Glass and Window Frames",,,https://himimperial.in/about-us/
HIMANSHU DIESEL,,,,,,
HIMANSHU ELECTRONICS AND ELECTRICALS,,,,,,
HINDUSTAN COMPOSITES LTD.,MUMBAI,YES,"Automotive clutch facings, automotive disc brake pads, railway brake blocks, friction sheets, rubber proofed tapes, asbestos millboard sheets, asbestos millboard discs, compestos, limpet sheets etc. It works in the domains of railways, engineering, mining, aerospace, steel, chemical, ship building, atomic energy, oil exploration, automotive, etc.",2976.84 (2024),522.16 (2024),https://www.hindcompo.com/
HIRANI AUTOMOTIVE,GUJARAT,NO,TIE ROD,,,https://www.omxsuspension.com/company-profile/
HIRAOKA HYPER TOOLS INC,,,,,,
HIRSCHVOGEL COMPONENTS,PUNE,NO,"wheel hubs, common rails, balancer shafts, chassis, variable valves train, transmission parts etc. It provides development, transformation, processing, tooling, and technology solutions, tool, jig and fixture manufacturing etc. It also provides material analysis, additive manufacturing, and part development etc. It caters to the diesel injection, powertrain, landing gear, engine etc.",4386.68 (2023),617.18 (2023),https://www.hirschvogel.com/en/
HOBBY CRAFT,,,,,,
HUBERT STUKEN GMBH & CO. KG,OVERSEAS,,,,,https://stueken.com/
I CONTROLS & SYSTEMS,,,,,,
ICON AUTOCRAFT PVT LTD,HARYANA,NO,,,,https://iconautocraft.com/index.html
IDEAL TRIDON CLAMP (MUMBAI) CO PVT LTD,OVERSEAS,,,,,
IDEAL TRIDON CLAMP,,,,,,
IGUS INDIA PVTLTD,BENGALURU,NO,"cable carriers, cables, harnessed cables, bearing technology, linear technology, bar stocks, 3d printing, coatings, and low-cost automation.",,,https://www.igus.in/
IJS ELECTRONICS,,,,,,
IKON ENGINE VALVES,GUJARAT,NO,"Engine Valves , Connecting Rod Kit, Rocker, Valve Guide, Camshaft",,,https://www.ikonvalves.com/index.php
IMPERIAL AUTO,HARYANA,,,,,https://imperialauto.in/
IMPERIAL AUTO INDUSTRIES LIMITED,,,,,,
INDIA AUTO EXPORTS,,,,,,
INDIAN DIECASTING INDUSTRIES,UTTAR PRADESH,NO,"aluminium die-cast components, zinc die-cast components and industrial oil pumps, metal clad plugs and sockets, auto ignition gas stove, metal-clad plug and socket, refrigerator components, electrical conduit fittings, and metal clad plug.",,,https://www.diecastingindia.com/
INDIAN SPACE RESEARCH ORGANISATION (ISRO),,,,,,
INDICATION INSTRUMENTS LIMITED,HARYANA,NO,"clocks, smart gauges, switch gauges, electrical gauges, mechanical gauges, clusters, combis, sensors and digital catalogue.",2262.43 (2023),242.37 (2023),https://indicationinstruments.com/company-profile/
INDIGLOW AUTOMOBILE PVT LTD,DELHI,NO,"halogen bulb, led lights, tail lamp and miniatures, led and hid bulb, horns and relays, modules, strip, rolls, chakri and other accessories.",35.51 (2023),-0.22,https://www.indiglow.in/about.php
INDO AUTOTECH LIMITED,HARYANA,NO,"sheet metal components, fine blanked components, tubular components, fabricated components, welding components, assemblies and sub assemblies. Its services include welding, computer numerical control pipe bending, powder coating, specialized heat treatment etc.",16417.02 (2023),1407.34 (2023),https://www.indoautotech.com/
INDO CN IMPORTS,,,,,,
INDO EVEREST INDUSTRIES,MAHARASHTRA,NO,Drive Line Shaft Components,,,https://www.indoeverest.com/company-profile.html
INDUSTRIE SALERI ITALO S.P.A„ ITALY,PUNE,NO,"integrated thermal management module, e-pumps, mechanical water pumps, switchable water pumps, electromechanical pumps.",332.13 (2024),-94.92,https://www.saleri.com/
INJECTOPLAST PRIVATE LIMITED,KANPUR,NO,"radiator end tanks, engine under hood parts, door striker parts and suspension and braking system parts etc.",401.63 (2023),21.50 (2023),https://www.injectoplast.com/about-us.html
INNOVA RUBBERS,MAHARASHTRA,NO,"silent block bushes, engine mounts and transmission mounts, tuned mass absorbers, propeller shaft mountings, torsional vibration dampers, strut mount, axle bumpers and body mountaxle mounts, steering couplings and mounting bushes, bare rubber parts, exhaust hangers, links, control arms, inner bonded bushes, balance rod bushes and thermoplastic polyurethanes moulded parts.",3718.02 (2024),681.61 (2024),https://www.innovarubbers.com/
INNOVATIVE CONCEPTS,,,,,,https://www.iconceptsindia.com/index.html
INSTAPE SYNERGIES LIMITED,,,,,,
INTERNATIONAL CENTRE FOR AUTOMOTIVE TECHNOLOGY,,,,,,
INVESTMENT & PRECISION CASTINGS LIMITED,GUJARAT,YES,"transmission parts, combustion chamber parts, parts for cooling system, clutch parts, turbochargers, EGR coolers and related components and other miscellaneous parts to the automotive industry; impellers, diffusers, and turbochargers for industrial pumps and parts for heavy electrical transmission equipment, switch gear, and transducer parts for electrical and instrumentation industry.",1709.57 (2024),264.26 (2024),https://www.ipcl.in/
IP RINGS LTD,TAMIL NADU,YES,"piston rings, turbocharger ring, orbital cold formed transmission products like differential gear and pinion, synchrocone, polewheel, rotorshaft, diffcase assembly and other transmission components like gear shift sleeve, edge collar nut, lock ring and many more. It provides technology solutions like plasma spraying, gas nitriding, chromium plating, physical vapour deposition, orbital cold forming and carbon friction lining. ",3167.19 (2024),255.52 (2024),https://iprings.com/
"IROAD MOBILITY CO., LTD.",,,,,,
ISK AUTO INDUSTRIES,GUJARAT,NO,"axles, ball bearings, and spare parts for two-wheeler and three-wheeler vehicles.",,,https://www.iskauto.in/
IWORKKZ,,,,,,
J B INDUSTRIES,,,,,,
J J AUTO COMPONENTS (l) PVT. LTD.,GUJARAT,NO,"ylinder liners, sleeves and air cooled blocks and other auto components like valve guides, valve seat etc",,,https://www.jjautocomponents.com/
J.D METALS,,,,,,
JAGAN AUTOMOTIVES PVT LTD,,,,,,
JAGAN LAMPS LTD,HARYANA,YES,"dual filament lamps h4 and hs1 lamps, h7 halogen lamps, fog lamps, signaling lamps etc. It caters to aftermarket, original equipment manufacturer.",511.72 (2024),54.98 (2024),http://www.jaganlamps.com/
JAGDAMBA AUTO INDUSTRIES,DELHI,NO,"Speedometer Cables, Control Cables, Auto Control Cable, Clutch Cable, Bonnet Cable, Gear Cable, Auto Control Cable Liner, Outer Casing, Fuel Lines, Brake Hoses, Injection Pipes, Nylon Pipes, High Pressure Brake Hoses, etc.",,,https://www.corrugatedpipes.in/contact-us.html
JAGDISH ELECTRONICS INDIA PRIVATE LIMITED,PUNE,NO,"electronic ignition systems and coils for two-wheelers, three-wheelers, and small petrol engines.",1414.49 (2023),260.59 (2023),https://powercoils.com/about-us
JAIDARSHAN INDOCRAFT PVT LTD,GUJARAT,NO,cast cylinder liners.,54.60 (2023),3.86 (2023),http://www.engineliner.com/
JAIDEEP PLASTICS,,,,,,
JAIN INDUSTRIES JAIN POLYMERS JAIN ELASTOMERS,,,,,,
JAIN POLYMERS,,,,,,
JAL AUTO INDUSTRIES,,,,,,
JAMNA AUTO INDUSTRIES LIMITED,DELHI,YES,"tapered leaf, parabolic springs, multileaf springs, air suspension, lift axle and bogie suspension. It offers springs for original equipment manufacturers. The firm designs and manufactures springs to meet requirements of heavy commercial vehicles, medium commercial vehicles, light commercial vehicles, sport utility vehicles, trailers and air suspension systems.",23609.55 (2024),3687.87 (2024),https://www.jaispring.com/
JAPAN INDIA BUSINESS BUREAU / JAPAN INDIA CONSULTING,,,,,,
