Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
ALP NISHIKAVA PVT LTD,GURGAON,NO,"door mounted main and sub seals in ethylene propylene diene monomer (EPDM) sponge with plastic inserts, body mounted main seals, trunk lid seals and hood seals in solid, sponge and metal, flocked PU coated glass run channels, co-extruded mono windshields, and other solid profiles, co-extruded mono dust seals, hood seals, drip seals with or without mounting tape, and colored, black edge beading and main seals.",5579.88 (2023),552.86 (2023),https://alpnishikawa.com/
ALP OVERSEAS PRIVATE LIMITED,GURGAON,NO,"premium vinyl car floor mats, body side molding, side steps, bed liners for commercial vehicles, windshield, mass transportation, construction, packing, heating, ventilation, air conditioning and refrigeration, building and industrial sealings.",2100.16 (2023),327.16 (2023),https://www.alpoverseas.com/
ALTRAN MAGNETICS LLC,OVERSEAS,,,,,https://www.altranmagnetics.com/
AIT-RON AUTOMOTIVE PVT LTD,DELHI,NO,"alternators & starter motors, automotive rotating electricals.",,,https://altronauto.com/contact-us
ALWAR LAMPS PVTLTD.,,,,,,
AMALGAMATIONS GROUP THE MADRAS ADVERTISING COMPANY PVT LTD,CHENNAI,NO,"tractors, automobile ancillaries, plantations, trading and services",,,http://amalgamationsgroup.co.in/
AMAR AUTOMOBILES,,,,,,
AMAR AUTOTECH PVT LTD,LUDHIANA,NO,"sheet metal, pipe components and assemblies for India's automotive industry",1184.62 (2023),29.94 (2023),http://www.amarautotech.com/
AMAR KNITMESH TECHNOLOGIES PVT LTD,,,,,,
AMATO AUTOMOTIVE PVT. LTD.,,,,,,
AMAZON TECHNOCAST PVT LTD,GUJARAT,NO,raw and machined casting in both ferrous and non-ferrous metals,,,https://amazontechnocast.com/about-us/
AMBA MOTOR PARTS AND ACCESSORIES,,,,,,
AMP GROUP,GURGAON,NO,"antivibration rubber and rubber to metal bonded components for passenger cars and trucks, include engine, transmission mounts, liquid filled mounts, suspension bushes, rubber molded parts, plastic parts, sheet metal parts and heavy duty parts",2263.88 (2023),420.35 (2023),https://www.amp-group.in/about-us
AMPHENOL OMNI CONNECT INDIA PVT LTD,CHENNAI,NO,,,,https://www.amphenol-omni.com/contact.php
AMPHENOL PCD,,,,,,
AMPLE AUTO TECH PRIVATE LIMITED,GURGAON,NO,"steering and suspension parts, ball joints, ball pins, drag link assemblies rack ends, tie rod ends, tie rod assemblies, center tie rods, and stabilizer links.",1142.21 (2023),217.50 (2023),https://www.atekworld.com/contact.php
AMRIT FILTRATION EQUIPMENTS,,,,,,
ANAND AUTO CORPORATION,DELHI,NO,"shock absorbers, struts, front forks, engine bearings, piston rings, castings, gaskets, automotive and industrial filters, car care, coolants, resins, adhesives, sealants, coatings, and synchronizer rings for commercial vehicles, etc.",1888.76 (2023),764.70 (2023),http://www.anandgroupindia.com/
ANAND AUTO REPAIRS,,,,,,
ANAND AUTOMOTIVE PRIVATE LIMITED,,,,,,
ANAND EXPORTS,,,,,,
ANAND LINERS (INDIA) PVT. LTD,,,,,,
ANAND MOTOR PRODUCTS,,,,,,
ANAND NVH NORTH AMERICA,GURGAON,NO,"Anti vibration rubber molded and rubber to metal bonded parts for hcv, lcv and passenger car segments, body mounts, control arm bushes, suspension arm bushes, trailing & link arm bushes, stabilizer bar bush sub frame bushes, tri functional bushes, silicone exhaust hangers, pendulum support and engine mounts.",2139.83 (2023),278.30 (2023),http://www.anandnvh.com/
ANAND NVH PRODUCTS (P) . LIMITED,,,,,,
ANAND NVH PRODUCTS GMBH,,,,,,
ANAND PISTONS INTERNATIONAL,AGRA,NO,"cylinder blocks, piston kit, piston rings and liners. It caters its services to two or three wheelers, cars, commercial light and heavy vehicles, tractors, stationary engines, petrol or diesel, compressors, and forged pistons for defense applications.",,,http://www.anandpistons.com/
ANANDAUTOTECH,,,,,,
ANANDSHREEJI GROUP,KOLKATA,NO,,,,https://anandshreeji.com/contact-us/
ANU INDUSTRIES LIMITED,,,,,,
A-ONE INDUSTRIES,,,,,,
APEX TRANSMISSION,SONIPAT,NO,"gears and shafts, synchronizer rings, tractor gearbox parts range, automotive components, rear and intermediate axle range, scania gr, gre series, mercedes benz gearbox range and zf gearbox range.",60.14 (2023),6.83 (2023),https://www.apex-trans.co.uk/
APLS AUTOMOTIVE INDUSTRIES PVT LIMITED,FARIDABAD,NO,"manufacturing and supplying of clutch,clutches and components, apls brake lining, etc.",201.30 (2024),10.41 (2024),http://www.aplsclutch.com/
APTIV,OVERSEAS,NO,MOBILITY SOLUTIONS,42328.27 (2024),4345.93 (2024),https://www.aptiv.com/en/contact
ARAYMOND GROUP,OVERSEAS,NO,MOBILITY SOLUTIONS,,,http://www.araymond-automotive.com/
